Zipcode,ZoneName,Small,Medium,Large,ShippingClass,,,ZipZoneID,ZipCode,ZoneID,ShippingClass,ZoneName
1201,6,41,70,86,No Shipping Class Assigned,,,,,,,
1202,6,41,70,86,No Shipping Class Assigned,,,,,,,
1203,6,41,70,86,No Shipping Class Assigned,,,,,,,
1220,6,41,70,86,No Shipping Class Assigned,,,,,,,
1222,6,41,70,86,No Shipping Class Assigned,,,,,,,
1223,6,41,70,86,No Shipping Class Assigned,,,,,,,
1224,6,41,70,86,No Shipping Class Assigned,,,,,,,
1225,6,41,70,86,No Shipping Class Assigned,,,,,,,
1226,6,41,70,86,No Shipping Class Assigned,,,,,,,
1227,6,41,70,86,No Shipping Class Assigned,,,,,,,
1229,6,41,70,86,No Shipping Class Assigned,,,,,,,
1230,6,41,70,86,No Shipping Class Assigned,,,,,,,
1235,6,41,70,86,No Shipping Class Assigned,,,,,,,
1236,6,41,70,86,No Shipping Class Assigned,,,,,,,
1237,6,41,70,86,No Shipping Class Assigned,,,,,,,
1238,6,41,70,86,No Shipping Class Assigned,,,,,,,
1240,5,37,65,83,No Shipping Class Assigned,,,,,,,
1242,5,37,65,83,No Shipping Class Assigned,,,,,,,
1243,5,37,65,83,No Shipping Class Assigned,,,,,,,
1244,5,37,65,83,No Shipping Class Assigned,,,,,,,
1245,5,37,65,83,No Shipping Class Assigned,,,,,,,
1247,5,37,65,83,No Shipping Class Assigned,,,,,,,
1252,5,37,65,83,No Shipping Class Assigned,,,,,,,
1253,5,37,65,83,No Shipping Class Assigned,,,,,,,
1254,5,37,65,83,No Shipping Class Assigned,,,,,,,
1255,5,37,65,83,No Shipping Class Assigned,,,,,,,
1256,5,37,65,83,No Shipping Class Assigned,,,,,,,
1257,5,37,65,83,No Shipping Class Assigned,,,,,,,
1258,5,37,65,83,No Shipping Class Assigned,,,,,,,
1259,5,37,65,83,No Shipping Class Assigned,,,,,,,
1260,5,37,65,83,No Shipping Class Assigned,,,,,,,
1262,5,37,65,83,No Shipping Class Assigned,,,,,,,
1263,5,37,65,83,No Shipping Class Assigned,,,,,,,
