ZipCode,ZoneName,Small,Medium,Large,ShippingClass
1331,6,41,70,86,Fed Ex Overnight
1337,6,41,70,86,Fed Ex Overnight
1338,6,41,70,86,Fed Ex Overnight
1339,6,41,70,86,Fed Ex Overnight
1340,6,41,70,86,Fed Ex Overnight
1341,6,41,70,86,Fed Ex Overnight
1342,6,41,70,86,Fed Ex Overnight
1343,6,41,70,86,Fed Ex Overnight
1344,6,41,70,86,Fed Ex Overnight
1346,6,41,70,86,Fed Ex Overnight
1347,6,41,70,86,Fed Ex Overnight
1349,6,41,70,86,Fed Ex Overnight
1350,6,41,70,86,Fed Ex Overnight
1351,6,41,70,86,Fed Ex Overnight
1354,6,41,70,86,Fed Ex Overnight
1355,6,41,70,86,Fed Ex Overnight
1360,6,41,70,86,Fed Ex Overnight
1364,6,41,70,86,Fed Ex Overnight
1366,6,41,70,86,Fed Ex Overnight
1367,6,41,70,86,Fed Ex Overnight
1368,6,41,70,86,Fed Ex Overnight
1369,6,41,70,86,Fed Ex Overnight
1370,5,37,65,83,Fed Ex Overnight
1373,5,37,65,83,Fed Ex Overnight
1375,5,37,65,83,Fed Ex Overnight
1376,5,37,65,83,Fed Ex Overnight
1378,5,37,65,83,Fed Ex Overnight
1379,5,37,65,83,Fed Ex Overnight
1380,5,37,65,83,Fed Ex Overnight
1420,5,37,65,83,Fed Ex Overnight
1430,5,37,65,83,Fed Ex Overnight
1431,5,37,65,83,Fed Ex Overnight
1432,5,37,65,83,Fed Ex Overnight
1433,5,37,65,83,Fed Ex Overnight
1434,5,37,65,83,Fed Ex Overnight
1436,5,37,65,83,Fed Ex Overnight
1438,5,37,65,83,Fed Ex Overnight
1440,5,37,65,83,Fed Ex Overnight
1441,5,37,65,83,Fed Ex Overnight
1450,5,37,65,83,Fed Ex Overnight
1451,5,37,65,83,Fed Ex Overnight
1452,5,37,65,83,Fed Ex Overnight
1453,5,37,65,83,Fed Ex Overnight
1460,5,37,65,83,Fed Ex Overnight
1462,5,37,65,83,Fed Ex Overnight
1463,5,37,65,83,Fed Ex Overnight
1464,5,37,65,83,Fed Ex Overnight
1466,5,37,65,83,Fed Ex Overnight
1467,5,37,65,83,Fed Ex Overnight
1468,5,37,65,83,Fed Ex Overnight
1469,5,37,65,83,Fed Ex Overnight
1470,5,37,65,83,Fed Ex Overnight
1471,5,37,65,83,Fed Ex Overnight
1472,5,37,65,83,Fed Ex Overnight
1473,5,37,65,83,Fed Ex Overnight
1474,5,37,65,83,Fed Ex Overnight
1475,5,37,65,83,Fed Ex Overnight
1477,5,37,65,83,Fed Ex Overnight
1501,5,37,65,83,Fed Ex Overnight
1503,5,37,65,83,Fed Ex Overnight
1504,5,37,65,83,Fed Ex Overnight
1505,5,37,65,83,Fed Ex Overnight
1506,5,37,65,83,Fed Ex Overnight
1507,5,37,65,83,Fed Ex Overnight
1508,5,37,65,83,Fed Ex Overnight
1509,5,37,65,83,Fed Ex Overnight
1510,5,37,65,83,Fed Ex Overnight
1515,5,37,65,83,Fed Ex Overnight
1516,5,37,65,83,Fed Ex Overnight
1517,5,37,65,83,Fed Ex Overnight
1518,5,37,65,83,Fed Ex Overnight
1519,5,37,65,83,Fed Ex Overnight
1520,5,37,65,83,Fed Ex Overnight
1521,5,37,65,83,Fed Ex Overnight
1522,5,37,65,83,Fed Ex Overnight
1523,5,37,65,83,Fed Ex Overnight
1524,5,37,65,83,Fed Ex Overnight
1525,5,37,65,83,Fed Ex Overnight
1526,5,37,65,83,Fed Ex Overnight
1527,5,37,65,83,Fed Ex Overnight
1529,5,37,65,83,Fed Ex Overnight
1531,5,37,65,83,Fed Ex Overnight
1532,5,37,65,83,Fed Ex Overnight
1534,5,37,65,83,Fed Ex Overnight
1535,5,37,65,83,Fed Ex Overnight
1536,5,37,65,83,Fed Ex Overnight
1537,5,37,65,83,Fed Ex Overnight
1538,5,37,65,83,Fed Ex Overnight
1539,5,37,65,83,Fed Ex Overnight
1540,5,37,65,83,Fed Ex Overnight
1541,5,37,65,83,Fed Ex Overnight
1542,5,37,65,83,Fed Ex Overnight
1543,5,37,65,83,Fed Ex Overnight
1545,5,37,65,83,Fed Ex Overnight
1546,5,37,65,83,Fed Ex Overnight
1550,5,37,65,83,Fed Ex Overnight
1560,5,37,65,83,Fed Ex Overnight
1561,5,37,65,83,Fed Ex Overnight
1562,5,37,65,83,Fed Ex Overnight
1564,5,37,65,83,Fed Ex Overnight
1566,5,37,65,83,Fed Ex Overnight
1568,5,37,65,83,Fed Ex Overnight
1569,5,37,65,83,Fed Ex Overnight
1570,5,37,65,83,Fed Ex Overnight
1571,5,37,65,83,Fed Ex Overnight
1580,5,37,65,83,Fed Ex Overnight
1581,5,37,65,83,Fed Ex Overnight
1582,5,37,65,83,Fed Ex Overnight
1583,5,37,65,83,Fed Ex Overnight
1585,5,37,65,83,Fed Ex Overnight
1586,5,37,65,83,Fed Ex Overnight
1587,5,37,65,83,Fed Ex Overnight
1588,5,37,65,83,Fed Ex Overnight
1590,5,37,65,83,Fed Ex Overnight
1601,5,37,65,83,Fed Ex Overnight
1602,5,37,65,83,Fed Ex Overnight
1603,5,37,65,83,Fed Ex Overnight
1604,5,37,65,83,Fed Ex Overnight
1605,5,37,65,83,Fed Ex Overnight
1606,5,37,65,83,Fed Ex Overnight
1607,5,37,65,83,Fed Ex Overnight
1608,5,37,65,83,Fed Ex Overnight
1609,5,37,65,83,Fed Ex Overnight
1610,5,37,65,83,Fed Ex Overnight
1611,5,37,65,83,Fed Ex Overnight
1612,5,37,65,83,Fed Ex Overnight
1613,5,37,65,83,Fed Ex Overnight
1614,5,37,65,83,Fed Ex Overnight
1615,5,37,65,83,Fed Ex Overnight
1653,5,37,65,83,Fed Ex Overnight
1654,5,37,65,83,Fed Ex Overnight
1655,5,37,65,83,Fed Ex Overnight
1701,5,37,65,83,Fed Ex Overnight
1702,5,37,65,83,Fed Ex Overnight
1703,5,37,65,83,Fed Ex Overnight
1704,5,37,65,83,Fed Ex Overnight
1705,5,37,65,83,Fed Ex Overnight
1718,5,37,65,83,Fed Ex Overnight
1719,5,37,65,83,Fed Ex Overnight
1720,5,37,65,83,Fed Ex Overnight
1721,5,37,65,83,Fed Ex Overnight
1730,5,37,65,83,Fed Ex Overnight
1731,5,37,65,83,Fed Ex Overnight
1740,5,37,65,83,Fed Ex Overnight
1741,5,37,65,83,Fed Ex Overnight
1742,5,37,65,83,Fed Ex Overnight
1745,5,37,65,83,Fed Ex Overnight
1746,5,37,65,83,Fed Ex Overnight
1747,5,37,65,83,Fed Ex Overnight
1748,5,37,65,83,Fed Ex Overnight
1749,5,37,65,83,Fed Ex Overnight
1752,5,37,65,83,Fed Ex Overnight
1754,5,37,65,83,Fed Ex Overnight
1756,5,37,65,83,Fed Ex Overnight
1757,5,37,65,83,Fed Ex Overnight
1760,5,37,65,83,Fed Ex Overnight
1770,5,37,65,83,Fed Ex Overnight
1772,5,37,65,83,Fed Ex Overnight
1773,5,37,65,83,Fed Ex Overnight
1775,5,37,65,83,Fed Ex Overnight
1776,5,37,65,83,Fed Ex Overnight
1778,5,37,65,83,Fed Ex Overnight
1784,5,37,65,83,Fed Ex Overnight
1801,5,37,65,83,Fed Ex Overnight
1803,5,37,65,83,Fed Ex Overnight
1805,5,37,65,83,Fed Ex Overnight
1806,5,37,65,83,Fed Ex Overnight
1807,5,37,65,83,Fed Ex Overnight
1808,5,37,65,83,Fed Ex Overnight
1810,5,37,65,83,Fed Ex Overnight
1812,5,37,65,83,Fed Ex Overnight
1813,5,37,65,83,Fed Ex Overnight
1814,5,37,65,83,Fed Ex Overnight
1815,5,37,65,83,Fed Ex Overnight
1821,5,37,65,83,Fed Ex Overnight
1822,5,37,65,83,Fed Ex Overnight
1824,5,37,65,83,Fed Ex Overnight
1826,5,37,65,83,Fed Ex Overnight
1827,5,37,65,83,Fed Ex Overnight
1830,5,37,65,83,Fed Ex Overnight
1831,5,37,65,83,Fed Ex Overnight
1832,5,37,65,83,Fed Ex Overnight
1833,5,37,65,83,Fed Ex Overnight
1834,5,37,65,83,Fed Ex Overnight
1835,5,37,65,83,Fed Ex Overnight
1840,5,37,65,83,Fed Ex Overnight
1841,5,37,65,83,Fed Ex Overnight
1842,5,37,65,83,Fed Ex Overnight
1843,5,37,65,83,Fed Ex Overnight
1844,5,37,65,83,Fed Ex Overnight
1845,5,37,65,83,Fed Ex Overnight
1850,5,37,65,83,Fed Ex Overnight
1851,5,37,65,83,Fed Ex Overnight
1852,5,37,65,83,Fed Ex Overnight
1853,5,37,65,83,Fed Ex Overnight
1854,5,37,65,83,Fed Ex Overnight
1860,5,37,65,83,Fed Ex Overnight
1862,5,37,65,83,Fed Ex Overnight
1863,5,37,65,83,Fed Ex Overnight
1864,5,37,65,83,Fed Ex Overnight
1865,5,37,65,83,Fed Ex Overnight
1866,5,37,65,83,Fed Ex Overnight
1867,5,37,65,83,Fed Ex Overnight
1876,5,37,65,83,Fed Ex Overnight
1879,5,37,65,83,Fed Ex Overnight
1880,5,37,65,83,Fed Ex Overnight
1885,5,37,65,83,Fed Ex Overnight
1886,5,37,65,83,Fed Ex Overnight
1887,5,37,65,83,Fed Ex Overnight
1888,5,37,65,83,Fed Ex Overnight
1889,5,37,65,83,Fed Ex Overnight
1890,5,37,65,83,Fed Ex Overnight
1899,5,37,65,83,Fed Ex Overnight
1901,5,37,65,83,Fed Ex Overnight
1902,5,37,65,83,Fed Ex Overnight
1903,5,37,65,83,Fed Ex Overnight
1904,5,37,65,83,Fed Ex Overnight
1905,5,37,65,83,Fed Ex Overnight
1906,5,37,65,83,Fed Ex Overnight
1907,5,37,65,83,Fed Ex Overnight
1908,5,37,65,83,Fed Ex Overnight
1910,5,37,65,83,Fed Ex Overnight
1913,5,37,65,83,Fed Ex Overnight
1915,5,37,65,83,Fed Ex Overnight
1921,5,37,65,83,Fed Ex Overnight
1922,5,37,65,83,Fed Ex Overnight
1923,5,37,65,83,Fed Ex Overnight
1929,5,37,65,83,Fed Ex Overnight
1930,5,37,65,83,Fed Ex Overnight
1931,5,37,65,83,Fed Ex Overnight
1936,5,37,65,83,Fed Ex Overnight
1937,5,37,65,83,Fed Ex Overnight
1938,5,37,65,83,Fed Ex Overnight
1940,5,37,65,83,Fed Ex Overnight
1944,5,37,65,83,Fed Ex Overnight
1945,5,37,65,83,Fed Ex Overnight
1947,5,37,65,83,Fed Ex Overnight
1949,5,37,65,83,Fed Ex Overnight
1950,5,37,65,83,Fed Ex Overnight
1951,5,37,65,83,Fed Ex Overnight
1952,5,37,65,83,Fed Ex Overnight
1960,5,37,65,83,Fed Ex Overnight
1961,5,37,65,83,Fed Ex Overnight
1964,5,37,65,83,Fed Ex Overnight
1965,5,37,65,83,Fed Ex Overnight
1966,5,37,65,83,Fed Ex Overnight
1969,5,37,65,83,Fed Ex Overnight
1970,5,37,65,83,Fed Ex Overnight
1971,5,37,65,83,Fed Ex Overnight
1982,5,37,65,83,Fed Ex Overnight
1983,5,37,65,83,Fed Ex Overnight
1984,5,37,65,83,Fed Ex Overnight
1985,5,37,65,83,Fed Ex Overnight
2018,5,37,65,83,Fed Ex Overnight
2019,5,37,65,83,Fed Ex Overnight
2020,5,37,65,83,Fed Ex Overnight
2021,5,37,65,83,Fed Ex Overnight
2025,5,37,65,83,Fed Ex Overnight
2026,5,37,65,83,Fed Ex Overnight
2027,5,37,65,83,Fed Ex Overnight
2030,5,37,65,83,Fed Ex Overnight
2031,5,37,65,83,Fed Ex Overnight
2032,5,37,65,83,Fed Ex Overnight
2035,5,37,65,83,Fed Ex Overnight
2038,5,37,65,83,Fed Ex Overnight
2040,5,37,65,83,Fed Ex Overnight
2041,5,37,65,83,Fed Ex Overnight
2043,5,37,65,83,Fed Ex Overnight
2044,5,37,65,83,Fed Ex Overnight
2045,5,37,65,83,Fed Ex Overnight
2047,5,37,65,83,Fed Ex Overnight
2048,5,37,65,83,Fed Ex Overnight
2050,5,37,65,83,Fed Ex Overnight
2051,5,37,65,83,Fed Ex Overnight
2052,5,37,65,83,Fed Ex Overnight
2053,5,37,65,83,Fed Ex Overnight
2054,5,37,65,83,Fed Ex Overnight
2055,5,37,65,83,Fed Ex Overnight
2056,5,37,65,83,Fed Ex Overnight
2059,5,37,65,83,Fed Ex Overnight
2060,5,37,65,83,Fed Ex Overnight
2061,5,37,65,83,Fed Ex Overnight
2062,5,37,65,83,Fed Ex Overnight
2065,5,37,65,83,Fed Ex Overnight
2066,5,37,65,83,Fed Ex Overnight
2067,5,37,65,83,Fed Ex Overnight
2070,5,37,65,83,Fed Ex Overnight
2071,5,37,65,83,Fed Ex Overnight
2072,5,37,65,83,Fed Ex Overnight
2081,5,37,65,83,Fed Ex Overnight
2090,5,37,65,83,Fed Ex Overnight
2093,5,37,65,83,Fed Ex Overnight
2101,5,37,65,83,Fed Ex Overnight
2102,5,37,65,83,Fed Ex Overnight
2103,5,37,65,83,Fed Ex Overnight
2104,5,37,65,83,Fed Ex Overnight
2105,5,37,65,83,Fed Ex Overnight
2106,5,37,65,83,Fed Ex Overnight
2107,5,37,65,83,Fed Ex Overnight
2108,5,37,65,83,Fed Ex Overnight
2109,5,37,65,83,Fed Ex Overnight
2110,5,37,65,83,Fed Ex Overnight
2111,5,37,65,83,Fed Ex Overnight
2112,5,37,65,83,Fed Ex Overnight
2113,5,37,65,83,Fed Ex Overnight
2114,5,37,65,83,Fed Ex Overnight
2115,5,37,65,83,Fed Ex Overnight
2116,5,37,65,83,Fed Ex Overnight
2117,5,37,65,83,Fed Ex Overnight
2118,5,37,65,83,Fed Ex Overnight
2119,5,37,65,83,Fed Ex Overnight
2120,5,37,65,83,Fed Ex Overnight
