"Zipcode","ZoneName","Small","Medium","Large","ShippingClass"
"1534","5","37","65","83",""
"1535","5","37","65","83",""
"1536","5","37","65","83",""
"1537","5","37","65","83",""
"1538","5","37","65","83",""
"1539","5","37","65","83",""
"1540","5","37","65","83",""
"1541","5","37","65","83",""
"1542","5","37","65","83",""
"1543","5","37","65","83",""
"1545","5","37","65","83",""
"1546","5","37","65","83",""
"1550","5","37","65","83",""
"1560","5","37","65","83",""
"1561","5","37","65","83",""
"1562","5","37","65","83",""
"1564","5","37","65","83",""
"1566","5","37","65","83",""
"1568","5","37","65","83",""
"1569","5","37","65","83",""
"1570","5","37","65","83",""
"1571","5","37","65","83",""
"1580","5","37","65","83",""
"1581","5","37","65","83",""
"1582","5","37","65","83",""
"1583","5","37","65","83",""
"1585","5","37","65","83",""
"1586","5","37","65","83",""
"1587","5","37","65","83",""
"1588","5","37","65","83",""
"1590","5","37","65","83",""
"1601","5","37","65","83",""
"1602","5","37","65","83",""
"1603","5","37","65","83",""
"1604","5","37","65","83",""
"1605","5","37","65","83",""
"1606","5","37","65","83",""
"1607","5","37","65","83",""
"1608","5","37","65","83",""
"1609","5","37","65","83",""
"1610","5","37","65","83",""
"1611","5","37","65","83",""
"1612","5","37","65","83",""
"1613","5","37","65","83",""
"1614","5","37","65","83",""
"1615","5","37","65","83",""
"1653","5","37","65","83",""
"1654","5","37","65","83",""
"1655","5","37","65","83",""
"1701","5","37","65","83",""
"1702","5","37","65","83",""
"1703","5","37","65","83",""
"1704","5","37","65","83",""
"1705","5","37","65","83",""
"1718","5","37","65","83",""
"1719","5","37","65","83",""
"1720","5","37","65","83",""
"1721","5","37","65","83",""
"1730","5","37","65","83",""
"1731","5","37","65","83",""
"1740","5","37","65","83",""
"1741","5","37","65","83",""
"1742","5","37","65","83",""
"1745","5","37","65","83",""
"1746","5","37","65","83",""
"1747","5","37","65","83",""
"1748","5","37","65","83",""
"1749","5","37","65","83",""
"1752","5","37","65","83",""
"1754","5","37","65","83",""
"1756","5","37","65","83",""
"1757","5","37","65","83",""
"1760","5","37","65","83",""
"1770","5","37","65","83",""
"1772","5","37","65","83",""
"1773","5","37","65","83",""
"1775","5","37","65","83",""
"1776","5","37","65","83",""
"1778","5","37","65","83",""
"1784","5","37","65","83",""
"1801","5","37","65","83",""
"1803","5","37","65","83",""
"1805","5","37","65","83",""
"1806","5","37","65","83",""
"1807","5","37","65","83",""
"1808","5","37","65","83",""
"1810","5","37","65","83",""
"1812","5","37","65","83",""
"1813","5","37","65","83",""
"1814","5","37","65","83",""
"1815","5","37","65","83",""
"1821","5","37","65","83",""
"1822","5","37","65","83",""
"1824","5","37","65","83",""
"1826","5","37","65","83",""
"1827","5","37","65","83",""
"1830","5","37","65","83",""
"1831","5","37","65","83",""
"1832","5","37","65","83",""
"1833","5","37","65","83",""
"1834","5","37","65","83",""
"1835","5","37","65","83",""
"1840","5","37","65","83",""
"1841","5","37","65","83",""
"1842","5","37","65","83",""
"1843","5","37","65","83",""
"1844","5","37","65","83",""
"1845","5","37","65","83",""
"1850","5","37","65","83",""
"1851","5","37","65","83",""
"1852","5","37","65","83",""
"1853","5","37","65","83",""
"1854","5","37","65","83",""
"1860","5","37","65","83",""
"1862","5","37","65","83",""
"1863","5","37","65","83",""
"1864","5","37","65","83",""
"1865","5","37","65","83",""
